Thermal,Control,Whitewash,Shading,External,
,,,,-11,
,,,,-11,
,,,,-11,
-4,-6,,,-10,
-4,-6,,,-10,
-3.8,-6,,,-10,
-3,-6,,,-10,
-3.6,-5.6,,,-9,
-3.6,-5.6,,,-9,
-3.2,-5.6,,,-9,
-2,-5.6,,,-9,
-2.6,-4.8,,,-8,
-2.6,-4.8,,,-8,
-2.6,-4.8,,,-8,
-1.8,-4.8,,,-8,
-1.4,-4,,,-7,
-1.4,-4,,,-7,
-1.2,-4,,,-7,
-1,-4,,,-7,
-1,-3.3,,,-6,
-1,-3.3,,,-6,
-1,-3.3,,,-6,
-1,-3.3,,,-6,
-0.6,-2.9,,,-5,
-0.6,-2.9,,,-5,
-0.6,-2.9,,,-5,
-0.6,-2.9,,,-5,
0,-2,,,-4,
0,-2,,,-4,
0.2,-2,,,-4,
0.2,-2,,,-4,
1.1,-1.3,,,-3,
1.1,-1.3,,,-3,
1.1,-1.3,,,-3,
1.1,-1.3,,,-3,
3.3,-0.5,,,-2,
3.3,-0.5,,,-2,
3.6,-0.5,,,-2,
2.4,-0.5,,,-2,
4.2,0,,,-1,
4.2,0,,,-1,
4.2,0,,,-1,
3.8,0,,,-1,
5,1,,,0,
5,1,,,0,
5.1,1,,,0,
5.1,1,,,0,
6,2,,,1,
6,2,,,1,
6,2,,,1,
6,2,,,1,
7.1,3,,,2,
,,-0.2,,2,
7.1,3,-0.1,,2,
6.9,3,0.1,,2,
6.9,3,0,,2,
,,0.8,0.6,2.1,
8.3,4,0.9,,3,
,,0.9,,3,
8.3,4,1.1,,3,
8.3,4,1.7,,3,
8.3,4,0.5,,3,
,,1.6,1.1,3.2,
,,2.1,2.1,3.9,
9.8,5,2.4,,4,
,,2.2,0,4,
9.8,5,1.8,,4,
9,5,2.4,,4,
9,5,2.5,,4,
11.5,6,3.1,,5,
,,3.2,,5,
11.5,6,2.8,,5,
11.5,6,3.3,,5,
11.5,6,3.4,,5,
,,3.5,2.9,5.1,
12,7,4.8,,6,
,,4.8,3.1,6,
12,7,3.4,,6,
12,7,4.8,,6,
12,7,4.8,,6,
,,4.8,4.6,6.4,
13.1,8,6.3,,7,
,,6.3,,7,
13.1,8,4.1,,7,
12.8,8,6.3,,7,
12.8,8,6.3,,7,
,,6.3,6.1,7.2,
14.3,9,8,,8,
,,8,,8,
14.3,9,7.1,,8,
14,9,8,,8,
14,9,8,,8,
,,8,7.9,8.3,
15.6,10,9.1,,9,
,,9.1,,9,
15.6,10,8.5,,9,
15.6,10,9.1,,9,
15.6,10,9.1,,9,
,,9.1,9,9.1,
16.9,11,10.3,,10,
,,10.3,,10,
,,10.3,10,10,
16.9,11,9.6,,10,
16.9,11,10.3,,10,
16.9,11,10.3,,10,
18,13.2,11.5,11.6,11,
,,11.5,11.6,11,
18,13.2,11,11.6,11,
18,13.2,11.5,11.6,11,
18,13.2,11.5,11.6,11,
,,11.5,11.6,11.5,
19.1,15,13,13,12,
,,13,13,12,
,,13,13,12,
19.1,15,12.1,13,12,
19.1,15,13,13,12,
19.1,15,13,13,12,
20,17,14.6,14.8,13,
,,14.6,14.8,13,
20,17,15.6,14.8,13,
